member_id,member_name,party,state,congress,avg_simple_conformity,avg_entropy_conformity,votes_cast,birth_year,first_year_served,gender,chamber,district
A000055,Aderholt,R,AL,108,0.9462915601023018,0.7799406026532711,1173,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,109,0.9611360239162928,0.7614338628086678,669,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,110,0.9337382661512976,0.6867621729204274,1811,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,111,0.929968454258675,0.7556604175584916,1585,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,112,0.9282567652611704,0.7182278809609075,1589,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,113,0.9432234432234432,0.7744896206141638,1092,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,114,0.9515384615384616,0.7801329669222193,1300,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,115,0.9749351771823682,0.8100291207802414,1157,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,116,0.9353007945516458,0.7019363962396705,881,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,117,0.9623217922606924,0.7001139010731523,982,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,118,0.9403479701739852,0.7043075673873419,1207,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,119,1.0,0.9138009708019246,138,1965.0,1997.0,M,rep,AL-4
A000069,Akaka,D,HI,101,0.9666666666666668,0.7245289099074955,90,1924.0,1977.0,M,sen,
A000103,Alexander,D,AR,101,0.8850574712643678,0.5922127889025213,435,1934.0,1969.0,M,rep,AR-1
A000103,Alexander,D,AR,102,0.8997214484679665,0.5736397891271887,718,1934.0,1969.0,M,rep,AR-1
A000109,Allard,R,CO,102,0.8650793650793651,0.4588156825412431,882,1943.0,1991.0,M,sen,
A000109,Allard,R,CO,103,0.869605142332415,0.5480565210522832,1089,1943.0,1991.0,M,sen,
A000109,Allard,R,CO,104,0.9207459207459208,0.6793062945169959,1287,1943.0,1991.0,M,sen,
A000121,Allen,R,VA,102,0.8814531548757171,0.4524083728861732,523,1952.0,1991.0,M,sen,
A000148,Auchincloss,D,MA,117,0.9919436052366566,0.9402629404656128,993,1988.0,2021.0,M,rep,MA-4
A000148,Auchincloss,D,MA,118,0.9742738589211618,0.8561784796164814,1205,1988.0,2021.0,M,rep,MA-4
A000148,Auchincloss,D,MA,119,0.9710144927536232,0.8888189827024006,138,1988.0,2021.0,M,rep,MA-4
A000189,Anderson,D,CA,101,0.921104536489152,0.6146840944403941,507,1913.0,1969.0,M,rep,CA-32
A000189,Anderson,D,CA,102,0.8919540229885058,0.564408170166923,870,1913.0,1969.0,M,rep,CA-32
A000209,Andrews (TX),D,TX,101,0.8752475247524752,0.6017600014581713,505,1944.0,1983.0,M,rep,TX-25
A000209,Andrews (TX),D,TX,102,0.8329545454545455,0.5564257871610808,880,1944.0,1983.0,M,rep,TX-25
A000209,Andrews (TX),D,TX,103,0.8375125376128385,0.5522086700575536,997,1944.0,1983.0,M,rep,TX-25
A000210,Andrews,D,NJ,102,0.838302752293578,0.5486390705904906,872,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,103,0.8199233716475096,0.5344653743365996,1044,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,104,0.7767857142857143,0.4227238968271151,1232,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,105,0.873015873015873,0.5468426492775843,1071,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,106,0.9076271186440678,0.6027795235133154,1180,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,107,0.9229166666666668,0.6496244231588146,960,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,108,0.9353448275862069,0.7232048217659272,1160,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,109,0.9342327150084316,0.7012328894273477,593,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,110,0.9829059829059827,0.8538571396785994,1638,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,111,0.9873657612128868,0.8310496043894751,1583,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,112,0.9245283018867924,0.6327873242909047,1537,1957.0,1990.0,M,rep,NJ-1
A000210,Andrews,D,NJ,113,0.9131693198263386,0.686935648845816,691,1957.0,1990.0,M,rep,NJ-1
A000211,Andrews (ME),D,ME,102,0.9049773755656108,0.5720707970848938,884,1953.0,1991.0,M,rep,ME-1
A000211,Andrews (ME),D,ME,103,0.9151119402985076,0.5791094899077558,1072,1953.0,1991.0,M,rep,ME-1
A000212,Annunzio,D,IL,101,0.9131313131313132,0.607367455913987,495,1915.0,1965.0,M,rep,IL-11
A000212,Annunzio,D,IL,102,0.9151943462897526,0.5901062814980844,849,1915.0,1965.0,M,rep,IL-11
A000213,Anthony,D,AR,101,0.9127789046653144,0.6114820615670566,493,1938.0,1979.0,M,rep,AR-4
A000213,Anthony,D,AR,102,0.8940027894002789,0.581887754307043,717,1938.0,1979.0,M,rep,AR-4
A000214,Applegate,D,OH,101,0.8207171314741036,0.5744555867409712,502,1928.0,1977.0,M,rep,OH-18
A000214,Applegate,D,OH,102,0.8072976054732041,0.527414839302636,877,1928.0,1977.0,M,rep,OH-18
A000214,Applegate,D,OH,103,0.8239299610894941,0.5373220156045865,1028,1928.0,1977.0,M,rep,OH-18
A000215,Archer,R,TX,101,0.7915831663326653,0.4017308121482624,499,1928.0,1971.0,M,rep,TX-7
A000215,Archer,R,TX,102,0.8161849710982659,0.4547622994532009,865,1928.0,1971.0,M,rep,TX-7
A000215,Archer,R,TX,103,0.8570102135561746,0.5366142572769457,1077,1928.0,1971.0,M,rep,TX-7
A000215,Archer,R,TX,104,0.9473276529821844,0.6906914774014087,1291,1928.0,1971.0,M,rep,TX-7
A000215,Archer,R,TX,105,0.9465716829919858,0.6694403698631649,1123,1928.0,1971.0,M,rep,TX-7
A000215,Archer,R,TX,106,0.9227353463587922,0.6690930301619922,1126,1928.0,1971.0,M,rep,TX-7
A000217,Armey,R,TX,101,0.7683168316831683,0.3859076772766427,505,1940.0,1985.0,M,rep,TX-26
A000217,Armey,R,TX,102,0.8373424971363116,0.4480410458665992,873,1940.0,1985.0,M,rep,TX-26
A000217,Armey,R,TX,103,0.8856607310215557,0.5553995653951763,1067,1940.0,1985.0,M,rep,TX-26
A000217,Armey,R,TX,104,0.9489953632148376,0.6907789711230243,1294,1940.0,1985.0,M,rep,TX-26
A000217,Armey,R,TX,105,0.9389920424403184,0.6677890941362884,1131,1940.0,1985.0,M,rep,TX-26
A000217,Armey,R,TX,106,0.9508474576271186,0.6772536588898532,1180,1940.0,1985.0,M,rep,TX-26
A000217,Armey,R,TX,107,0.9667013527575442,0.7800555255372602,961,1940.0,1985.0,M,rep,TX-26
A000224,Aspin,D,WI,101,0.9184549356223176,0.6114194314101112,466,1938.0,1971.0,M,rep,WI-1
A000224,Aspin,D,WI,102,0.8870392390011891,0.5749566040341325,841,1938.0,1971.0,M,rep,WI-1
A000226,Atkins,D,MA,101,0.937625754527163,0.6175225231410888,497,1948.0,1985.0,M,rep,MA-5
A000226,Atkins,D,MA,102,0.909199522102748,0.5678878809461136,837,1948.0,1985.0,M,rep,MA-5
A000337,AuCoin,D,OR,101,0.9177777777777778,0.6092299441619304,450,1942.0,1975.0,M,rep,OR-1
A000337,AuCoin,D,OR,102,0.918774966711052,0.564764772273877,751,1942.0,1975.0,M,rep,OR-1
A000357,Allen,D,ME,105,0.9269565217391303,0.5540888731801951,1150,1945.0,1997.0,M,rep,ME-1
A000357,Allen,D,ME,106,0.950210970464135,0.6252939751555178,1185,1945.0,1997.0,M,rep,ME-1
A000357,Allen,D,ME,107,0.9498432601880876,0.6553937828336777,957,1945.0,1997.0,M,rep,ME-1
A000357,Allen,D,ME,108,0.9448160535117056,0.7316920048640772,1196,1945.0,1997.0,M,rep,ME-1
A000357,Allen,D,ME,109,0.952959028831563,0.7132018955812736,659,1945.0,1997.0,M,rep,ME-1
A000357,Allen,D,ME,110,0.9828823854224186,0.8510286033707192,1811,1945.0,1997.0,M,rep,ME-1
A000358,Akin,R,MO,107,0.9367991845056064,0.7701057540200422,981,1947.0,2001.0,M,rep,MO-2
A000358,Akin,R,MO,108,0.9353191489361702,0.7751257581437175,1175,1947.0,2001.0,M,rep,MO-2
A000358,Akin,R,MO,109,0.9375,0.7620523236196658,656,1947.0,2001.0,M,rep,MO-2
A000358,Akin,R,MO,110,0.9265350877192984,0.6876453074764989,1824,1947.0,2001.0,M,rep,MO-2
A000358,Akin,R,MO,111,0.9438775510204082,0.7583525917448914,1568,1947.0,2001.0,M,rep,MO-2
A000358,Akin,R,MO,112,0.9606656580937972,0.7219721123688932,1322,1947.0,2001.0,M,rep,MO-2
A000361,Alexander,D,LA,108,0.8302583025830258,0.6878527180071174,1084,1946.0,2003.0,M,rep,LA-5
A000361,Alexander,R,LA,108,0.9741379310344828,0.7586159860180136,116,1946.0,2003.0,M,rep,LA-5
A000361,Alexander,R,LA,109,0.9757207890743552,0.7620143243234948,659,1946.0,2003.0,M,rep,LA-5
A000361,Alexander,R,LA,110,0.9301136363636364,0.6822597289709804,1760,1946.0,2003.0,M,rep,LA-5
A000361,Alexander,R,LA,111,0.944194996792816,0.757764268748664,1559,1946.0,2003.0,M,rep,LA-5
A000361,Alexander,R,LA,112,0.9307692307692308,0.721449445098193,1560,1946.0,2003.0,M,rep,LA-5
A000361,Alexander,R,LA,113,0.9287211740041929,0.7271649624683479,477,1946.0,2003.0,M,rep,LA-5
A000362,Altmire,D,PA,110,0.8772117962466488,0.791182175808431,1865,1968.0,2007.0,M,rep,PA-4
A000362,Altmire,D,PA,111,0.8876745598057073,0.7762480436061341,1647,1968.0,2007.0,M,rep,PA-4
A000362,Altmire,D,PA,112,0.6436203645505971,0.484412329260271,1591,1968.0,2007.0,M,rep,PA-4
A000363,Arcuri,D,NY,110,0.9751216873985938,0.8509141373888166,1849,1959.0,2007.0,M,rep,NY-24
A000363,Arcuri,D,NY,111,0.9182782283218964,0.7941696533109044,1603,1959.0,2007.0,M,rep,NY-24
A000364,Adler (NJ),D,NJ,111,0.8970861748295103,0.780406035538854,1613,1959.0,2009.0,M,rep,NJ-3
A000365,Austria,R,OH,111,0.967464702271332,0.7628274169466168,1629,1958.0,2009.0,M,rep,OH-7
A000365,Austria,R,OH,112,0.939016393442623,0.7201076032349742,1525,1958.0,2009.0,M,rep,OH-7
A000366,Adams,R,FL,112,0.9394506866416978,0.7222146652043232,1602,1956.0,2011.0,F,rep,FL-24
A000367,Amash,R,MI,112,0.7687379884689302,0.6208056392854923,1561,1980.0,2011.0,M,rep,MI-3
A000367,Amash,R,MI,113,0.7741666666666667,0.6630936517991247,1200,1980.0,2011.0,M,rep,MI-3
A000367,Amash,R,MI,114,0.7573919636087946,0.6483072773780626,1319,1980.0,2011.0,M,rep,MI-3
A000367,Amash,R,MI,115,0.6627906976744186,0.5871242663029693,1204,1980.0,2011.0,M,rep,MI-3
A000367,Amash,R,MI,116,0.6297169811320755,0.4378522849155558,424,1980.0,2011.0,M,rep,MI-3
A000369,Amodei,R,NV,112,0.9616279069767442,0.7693635247232278,860,1958.0,2011.0,M,rep,NV-2
A000369,Amodei,R,NV,113,0.943891402714932,0.7621063534226468,1105,1958.0,2011.0,M,rep,NV-2
A000369,Amodei,R,NV,114,0.947538337368846,0.7812580914992456,1239,1958.0,2011.0,M,rep,NV-2
A000369,Amodei,R,NV,115,0.964957264957265,0.8035165659219166,1170,1958.0,2011.0,M,rep,NV-2
A000369,Amodei,R,NV,116,0.9235807860262008,0.6950186397547986,916,1958.0,2011.0,M,rep,NV-2
A000369,Amodei,R,NV,117,0.9625126646403244,0.6966642038578019,987,1958.0,2011.0,M,rep,NV-2
A000369,Amodei,R,NV,118,0.9240196078431372,0.7012568488932299,1224,1958.0,2011.0,M,rep,NV-2
A000369,Amodei (NV),R,NV,119,1.0,0.908944643157318,137,1958.0,2011.0,M,rep,NV-2
A000370,Adams,D,NC,113,0.9782608695652174,0.7872427879440538,46,1946.0,2014.0,F,rep,NC-12
A000370,Adams,D,NC,114,0.9811629811629812,0.8130860654286689,1221,1946.0,2014.0,F,rep,NC-12
A000370,Adams,D,NC,115,0.9770017035775128,0.8291104897116933,1174,1946.0,2014.0,F,rep,NC-12
A000370,Adams,D,NC,116,0.9935205183585312,0.9045712174839824,926,1946.0,2014.0,F,rep,NC-12
A000370,Adams,D,NC,117,0.9919273461150352,0.9433684609657826,991,1946.0,2014.0,F,rep,NC-12
A000370,Adams,D,NC,118,0.985962014863749,0.860688084890214,1211,1946.0,2014.0,F,rep,NC-12
A000370,Adams,D,NC,119,1.0,0.8872829283672395,144,1946.0,2014.0,F,rep,NC-12
A000371,Aguilar,D,CA,114,0.9098039215686274,0.7886439777346468,1275,1979.0,2015.0,M,rep,CA-33
A000371,Aguilar,D,CA,115,0.9429051217464316,0.819383498415202,1191,1979.0,2015.0,M,rep,CA-33
A000371,Aguilar,D,CA,116,0.975609756097561,0.9001792871338645,943,1979.0,2015.0,M,rep,CA-33
A000371,Aguilar,D,CA,117,0.9899295065458208,0.943000347056091,993,1979.0,2015.0,M,rep,CA-33
A000371,Aguilar,D,CA,118,0.9828571428571428,0.8618015147090946,1225,1979.0,2015.0,M,rep,CA-33
A000371,Aguilar,D,CA,119,0.9858156028368794,0.8897793383301366,141,1979.0,2015.0,M,rep,CA-33
A000372,Allen,R,GA,114,0.9739663093415007,0.7833163232709729,1306,1951.0,2015.0,M,rep,GA-12
A000372,Allen,R,GA,115,0.9848866498740554,0.8089838726250371,1191,1951.0,2015.0,M,rep,GA-12
A000372,Allen,R,GA,116,0.9210245464247598,0.6962969479072446,937,1951.0,2015.0,M,rep,GA-12
A000372,Allen,R,GA,117,0.904860392967942,0.6857694464235369,967,1951.0,2015.0,M,rep,GA-12
A000372,Allen,R,GA,118,0.9544715447154472,0.705742192312376,1230,1951.0,2015.0,M,rep,GA-12
A000372,Allen,R,GA,119,1.0,0.903533014378044,140,1951.0,2015.0,M,rep,GA-12
A000373,Ashford,D,NE,114,0.7844036697247706,0.6946023014621682,1308,1949.0,2015.0,M,rep,NE-2
A000374,Abraham,R,LA,114,0.9712121212121212,0.7846178299408589,1320,1954.0,2015.0,M,rep,LA-5
A000374,Abraham,R,LA,115,0.9747899159663864,0.8073522372938836,1190,1954.0,2015.0,M,rep,LA-5
A000374,Abraham,R,LA,116,0.9478260869565216,0.7309308445146524,575,1954.0,2015.0,M,rep,LA-5
A000375,Arrington,R,TX,115,0.9914893617021276,0.8133722126057306,1175,1972.0,2017.0,M,rep,TX-19
A000375,Arrington,R,TX,116,0.90752688172043,0.6886889486178654,930,1972.0,2017.0,M,rep,TX-19
A000375,Arrington,R,TX,117,0.8870614035087719,0.6813131465213167,912,1972.0,2017.0,M,rep,TX-19
A000375,Arrington,R,TX,118,0.929481733220051,0.7050444751830462,1177,1972.0,2017.0,M,rep,TX-19
A000375,Arrington,R,TX,119,0.9785714285714284,0.901599696253396,140,1972.0,2017.0,M,rep,TX-19
A000376,Allred,D,TX,116,0.9783315276273022,0.8992408372565657,923,1983.0,2019.0,M,rep,TX-32
A000376,Allred,D,TX,117,0.9837728194726166,0.9419259947119588,986,1983.0,2019.0,M,rep,TX-32
A000376,Allred,D,TX,118,0.9344799344799344,0.8390315659010462,1221,1983.0,2019.0,M,rep,TX-32
A000377,Armstrong,R,ND,116,0.9314472252448314,0.6955913127505782,919,1976.0,2019.0,M,rep,ND-0
A000377,Armstrong,R,ND,117,0.9535864978902954,0.6958916242553577,948,1976.0,2019.0,M,rep,ND-0
A000377,Armstrong,R,ND,118,0.933791917454858,0.7026016683896041,1163,1976.0,2019.0,M,rep,ND-0
A000378,Axne,D,IA,116,0.9401069518716576,0.8783583221683403,935,1965.0,2019.0,F,rep,IA-3
A000378,Axne,D,IA,117,0.977867203219316,0.9400314295109904,994,1965.0,2019.0,F,rep,IA-3
A000379,Alford,R,MO,118,0.9527687296416938,0.7071470552592113,1228,1963.0,2023.0,M,rep,MO-4
A000379,Alford,R,MO,119,1.0,0.90809032592869,138,1963.0,2023.0,M,rep,MO-4
A000380,Amo,D,RI,118,0.9865319865319864,0.8384366003088346,594,1987.0,2023.0,M,rep,RI-1
A000380,Amo,D,RI,119,0.9861111111111112,0.8869056467953211,144,1987.0,2023.0,M,rep,RI-1
A000381,Ansari,D,AZ,119,0.9854014598540146,0.8896287685942609,137,1992.0,2025.0,F,rep,AZ-3
B000008,Bacchus (FL),D,FL,102,0.8716763005780347,0.5644288875594614,865,1949.0,1991.0,M,rep,FL-15
B000008,Bacchus (FL),D,FL,103,0.8897485493230174,0.5648292478145607,1034,1949.0,1991.0,M,rep,FL-15
B000013,Bachus,R,AL,103,0.9158878504672896,0.5582370279606454,1070,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,104,0.947449768160742,0.6887701871417861,1294,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,105,0.9255411255411256,0.6598496808310951,1155,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,106,0.928511354079058,0.6742478980303079,1189,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,107,0.974054054054054,0.7839182831181759,925,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,108,0.957685664939551,0.7844508303012839,1158,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,109,0.9637223974763408,0.7697554291441143,634,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,110,0.9391657010428736,0.6939673638469563,1726,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,111,0.9335839598997494,0.760145912330617,1596,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,112,0.939119170984456,0.718117528817358,1544,1947.0,1993.0,M,rep,AL-6
B000013,Bachus,R,AL,113,0.9325938566552902,0.7649867669950494,1172,1947.0,1993.0,M,rep,AL-6
B000028,Baesler,D,KY,103,0.879182156133829,0.5665913634218892,1076,1941.0,1993.0,M,rep,KY-6
B000028,Baesler,D,KY,104,0.7258687258687259,0.4160590846778821,1295,1941.0,1993.0,M,rep,KY-6
B000028,Baesler,D,KY,105,0.7957559681697612,0.5178938335042715,1131,1941.0,1993.0,M,rep,KY-6
B000072,Baker,R,LA,105,0.9609800362976406,0.6730083648726161,1102,1948.0,1987.0,M,rep,LA-6
B000072,Baker,R,LA,106,0.9411764705882352,0.6785648916922018,1156,1948.0,1987.0,M,rep,LA-6
B000072,Baker,R,LA,107,0.9712153518123668,0.7809883013722858,938,1948.0,1987.0,M,rep,LA-6
B000072,Baker,R,LA,108,0.9689655172413794,0.7956685118640663,1160,1948.0,1987.0,M,rep,LA-6
B000072,Baker,R,LA,109,0.9652448657187994,0.7556733067725906,633,1948.0,1987.0,M,rep,LA-6
B000072,Baker,R,LA,110,0.918848167539267,0.6487628285079201,1146,1948.0,1987.0,M,rep,LA-6
B000072,Baker (LA),R,LA,101,0.8747300215982722,0.4247840475048992,463,1948.0,1987.0,M,rep,LA-6
B000072,Baker (LA),R,LA,102,0.8997613365155132,0.4700194899861538,838,1948.0,1987.0,M,rep,LA-6
B000072,Baker (LA),R,LA,103,0.9165858389912708,0.5612889320770847,1031,1948.0,1987.0,M,rep,LA-6
B000072,Baker (LA),R,LA,104,0.9499192245557352,0.6898405553357322,1238,1948.0,1987.0,M,rep,LA-6
B000078,Baker (CA),R,CA,103,0.926443202979516,0.5597599829537497,1074,1940.0,1993.0,M,rep,CA-10
B000078,Baker (CA),R,CA,104,0.9424405218726016,0.6848131987899836,1303,1940.0,1993.0,M,rep,CA-10
B000081,Baldacci,D,ME,104,0.8840245775729647,0.4649628457821719,1302,1955.0,1995.0,M,rep,ME-2
B000081,Baldacci,D,ME,105,0.9230769230769232,0.5532283110215679,1157,1955.0,1995.0,M,rep,ME-2
B000081,Baldacci,D,ME,106,0.9345637583892618,0.6205154402807127,1192,1955.0,1995.0,M,rep,ME-2
B000081,Baldacci,D,ME,107,0.951115834218916,0.6583228761534229,941,1955.0,1995.0,M,rep,ME-2
B000104,Ballenger,R,NC,101,0.8727272727272727,0.4223619477954642,495,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,102,0.8818076477404403,0.4677175805652868,863,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,103,0.9052532833020638,0.5530989695431345,1066,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,104,0.95088257866462,0.6904646314371917,1303,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,105,0.9408071748878925,0.6701037254790474,1115,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,106,0.9491094147582696,0.6808144573886957,1179,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,107,0.9694415173867228,0.7786771727614819,949,1926.0,1986.0,M,rep,NC-10
B000104,Ballenger,R,NC,108,0.9720149253731344,0.7933807774337783,1072,1926.0,1986.0,M,rep,NC-10
B000134,Barcia,D,MI,103,0.8091674462114126,0.5322780020121678,1069,1952.0,1993.0,M,rep,MI-5
B000134,Barcia,D,MI,104,0.7688172043010753,0.4316201623860838,1302,1952.0,1993.0,M,rep,MI-5
B000134,Barcia,D,MI,105,0.7808098591549296,0.5087396070756414,1136,1952.0,1993.0,M,rep,MI-5
B000134,Barcia,D,MI,106,0.8010118043844857,0.568907752719782,1186,1952.0,1993.0,M,rep,MI-5
B000134,Barcia,D,MI,107,0.8488372093023255,0.6163101466516514,946,1952.0,1993.0,M,rep,MI-5
B000151,Barlow,D,KY,103,0.90625,0.581160546691839,1056,1940.0,1993.0,M,rep,KY-1
B000153,Barnard,D,GA,101,0.756152125279642,0.5490243571115399,447,1922.0,1977.0,M,rep,GA-10
B000153,Barnard,D,GA,102,0.7537764350453172,0.5201927255198184,662,1922.0,1977.0,M,rep,GA-10
B000169,Barr,R,GA,104,0.94834232845027,0.6861930571736914,1297,1948.0,1995.0,M,rep,GA-7
B000169,Barr,R,GA,105,0.900355871886121,0.6477098255541351,1124,1948.0,1995.0,M,rep,GA-7
B000169,Barr,R,GA,106,0.8870547350130321,0.6503479536970103,1151,1948.0,1995.0,M,rep,GA-7
B000169,Barr,R,GA,107,0.9264864864864863,0.7600799839500474,925,1948.0,1995.0,M,rep,GA-7
B000177,Barrett,D,WI,107,0.9301075268817204,0.6502757930252947,930,1953.0,1993.0,M,rep,WI-5
B000177,Barrett (WI),D,WI,103,0.904717853839038,0.5729051757619081,1081,1953.0,1993.0,M,rep,WI-5
B000177,Barrett (WI),D,WI,104,0.8633587786259542,0.4526101374097371,1310,1953.0,1993.0,M,rep,WI-5
B000177,Barrett (WI),D,WI,105,0.8754325259515571,0.5422320052419651,1156,1953.0,1993.0,M,rep,WI-5
B000177,Barrett (WI),D,WI,106,0.8967254408060453,0.6032849700850909,1191,1953.0,1993.0,M,rep,WI-5
B000179,Barrett (NE),R,NE,102,0.9084745762711864,0.4716995467474639,885,1929.0,1991.0,M,rep,NE-3
B000179,Barrett (NE),R,NE,103,0.9153633854645814,0.562646864015906,1087,1929.0,1991.0,M,rep,NE-3
B000179,Barrett (NE),R,NE,104,0.9444021325209444,0.6873872051636548,1313,1929.0,1991.0,M,rep,NE-3
B000179,Barrett (NE),R,NE,105,0.9266375545851528,0.6613541888015722,1145,1929.0,1991.0,M,rep,NE-3
B000179,Barrett (NE),R,NE,106,0.927791771620487,0.6748351906747241,1191,1929.0,1991.0,M,rep,NE-3
B000204,Bartlett,R,TX,101,0.7687747035573123,0.4066092529516977,506,1947.0,1983.0,M,rep,TX-3
B000204,Bartlett,R,TX,102,0.9583333333333334,0.8155887097085833,24,1947.0,1983.0,M,rep,TX-3
B000208,Bartlett,R,MD,103,0.9308118081180812,0.5625729729153136,1084,1926.0,1993.0,M,rep,MD-6
B000208,Bartlett,R,MD,104,0.95635528330781,0.687696448226664,1306,1926.0,1993.0,M,rep,MD-6
B000208,Bartlett,R,MD,105,0.9172413793103448,0.6639888952280615,1160,1926.0,1993.0,M,rep,MD-6
B000208,Bartlett,R,MD,106,0.922564529558701,0.6719622153732848,1201,1926.0,1993.0,M,rep,MD-6
B000208,Bartlett,R,MD,107,0.9211065573770492,0.7663323599408107,976,1926.0,1993.0,M,rep,MD-6
B000208,Bartlett,R,MD,111,0.926605504587156,0.7523739949265194,1635,1926.0,1993.0,M,rep,MD-6
B000208,Bartlett,R,MD,112,0.8970398970398971,0.7003747015234502,1554,1926.0,1993.0,M,rep,MD-6
